HUD frame time nsec:,16521000

Range Index,Elapsed Time, First Event,Last Event
0,36576,8,8
1,14912,16,16
2,7040,23,23
3,7808,30,30
4,6464,37,37
5,6496,44,44
6,6496,51,51
7,6944,58,58
8,6368,65,65
9,6496,72,72
10,6560,79,79
11,6656,86,86
12,6528,93,93
13,7072,100,100
14,6432,107,107
15,6528,114,114
16,6592,121,121
17,8096,128,128
18,6528,135,135
19,6560,142,142
20,6528,149,149
21,6432,156,156
22,9344,163,163
23,6880,170,170
24,6464,177,177
25,6464,184,184
26,6720,191,191
27,6560,198,198
28,7872,205,205
29,10816,212,212
30,127072,219,219
31,8288,226,226
32,11392,233,233
33,6720,240,240
34,10144,247,247
35,6368,254,254
36,6592,261,261
37,30176,268,268
38,8096,275,275
39,6336,282,282
40,6464,289,289
41,7712,296,296
42,11232,303,303
43,6432,310,310
44,6464,317,317
45,6528,324,324
46,6464,331,331
47,29056,338,338
48,8224,345,345
49,7232,352,352
50,8000,359,359
51,6432,366,366
52,9920,373,373
53,11552,380,380
54,297984,387,387
55,14592,406,406
56,29632,415,415
57,8512,419,419
58,26528,421,421
59,21792,450,450
60,287392,462,462
61,108960,474,474
62,107328,486,486
63,107264,498,498
64,107680,510,510
65,107968,522,522
66,108064,534,534
67,107840,546,546
68,107360,558,558
69,107168,570,570
70,107808,582,582
71,108320,594,594
72,107712,606,606
73,108096,618,618
74,107168,630,630
75,107072,642,642
76,106944,654,654
77,107264,666,666
78,107104,678,678
79,106976,690,690
80,107200,702,702
81,107424,714,714
82,107648,726,726
83,107136,738,738
84,107008,750,750
85,107392,762,762
86,107776,774,774
87,107168,786,786
88,109792,798,798
89,108320,810,810
90,107712,822,822
91,107872,834,834
92,107104,846,846
93,107200,858,858
94,107136,870,870
95,107200,882,882
96,106976,894,894
97,107264,906,906
98,107872,918,918
99,107616,930,930
100,107840,942,942
101,107968,954,954
102,107584,966,966
103,107392,978,978
104,106816,990,990
105,106944,1002,1002
106,107040,1014,1014
107,108160,1026,1026
108,107296,1038,1038
109,107200,1050,1050
110,106976,1062,1062
111,107008,1074,1074
112,107136,1086,1086
113,107008,1098,1098
114,108160,1110,1110
115,107904,1122,1122
116,108032,1134,1134
117,107936,1146,1146
118,107360,1158,1158
119,107264,1170,1170
120,107040,1182,1182
121,108032,1194,1194
122,107872,1206,1206
123,106976,1218,1218
124,106848,1230,1230
125,107584,1242,1242
126,107264,1254,1254
127,106880,1266,1266
128,107232,1278,1278
129,106656,1290,1290
130,108128,1302,1302
131,107328,1314,1314
132,107904,1326,1326
133,107392,1338,1338
134,106944,1350,1350
135,107040,1362,1362
136,107648,1374,1374
137,107904,1386,1386
138,108352,1398,1398
139,107200,1410,1410
140,107424,1422,1422
141,107392,1434,1434
142,107360,1446,1446
143,107008,1458,1458
144,107264,1470,1470
145,107456,1482,1482
146,107104,1494,1494
147,107360,1506,1506
148,107808,1518,1518
149,107296,1530,1530
150,107328,1542,1542
151,106944,1554,1554
152,106912,1566,1566
153,107520,1578,1578
154,107264,1590,1590
155,107648,1602,1602
156,107072,1614,1614
157,107392,1626,1626
158,107200,1638,1638
159,107136,1650,1650
160,107360,1662,1662
161,108096,1674,1674
162,107136,1686,1686
163,107488,1698,1698
164,107744,1710,1710
165,107680,1722,1722
166,107392,1734,1734
167,107136,1746,1746
168,107264,1758,1758
169,108128,1770,1770
170,107456,1782,1782
171,107200,1794,1794
172,107424,1806,1806
173,107488,1818,1818
174,107104,1830,1830
175,107808,1842,1842
176,107264,1854,1854
177,107456,1866,1866
178,106976,1878,1878
179,107296,1890,1890
180,107232,1902,1902
181,107296,1914,1914
182,107456,1926,1926
183,107456,1938,1938
184,107424,1950,1950
185,107264,1962,1962
186,107200,1974,1974
187,106784,1986,1986
188,107168,1998,1998
189,107040,2010,2010
190,107456,2022,2022
191,107392,2034,2034
192,107936,2046,2046
193,107456,2058,2058
